label,n,d,T,j,est,true,bias,q0,q1,bstd,covered,singleW,time
ours,100,3,10,0,-0.04554804096630856,0.06479648110442306,-0.11034452207073162,-0.15740871223907085,0.04911345061488519,0.062303512285976755,False,False,50075.327996730804
ours,100,3,10,0,0.08062262102439058,0.06479648110442306,0.015826139919967522,-0.024522249262235504,0.19974815065910653,0.06361439034299937,True,False,50075.327996730804
ours,100,3,10,0,0.13604975936526426,0.06479648110442306,0.0712532782608412,0.03157261725451796,0.2826497754825071,0.06187054964759397,True,False,50075.327996730804
ours,100,3,10,0,0.035979700282264784,0.06479648110442306,-0.028816780822158272,-0.11941112199630168,0.18340743188222924,0.07666387017691687,True,False,50075.327996730804
ours,100,3,10,0,0.1348388707071398,0.06479648110442306,0.07004238960271673,0.035359604202441594,0.23677727803736842,0.05236642528055735,True,False,50075.327996730804
ours,100,3,10,0,0.14938128203510442,0.06479648110442306,0.08458480093068137,0.004125760038989574,0.29885400493422537,0.07455262839153726,True,False,50075.327996730804
ours,100,3,10,0,0.06919299362260023,0.06479648110442306,0.004396512518177173,-0.05738672969733439,0.1997717135599666,0.06544481938610473,True,False,50075.327996730804
ours,100,3,10,0,0.11812775007333498,0.06479648110442306,0.053331268968911924,0.01118240920849081,0.21451213106295483,0.05847304664260428,True,False,50075.327996730804
ours,100,3,10,0,0.07896409050718074,0.06479648110442306,0.014167609402757686,-0.06489164693353419,0.20730753909433203,0.07325968061447956,True,False,50075.327996730804
ours,100,3,10,0,0.03909429670038003,0.06479648110442306,-0.025702184404043024,-0.1434932601561206,0.23490282823324266,0.09605582787098933,True,False,50075.327996730804
ours,100,3,10,0,0.008913714816675937,0.06479648110442306,-0.05588276628774712,-0.14609809985685782,0.10694818081601586,0.06632189041603519,True,False,50075.327996730804
ours,100,3,10,0,0.049101693158988796,0.06479648110442306,-0.01569478794543426,-0.05357322137540299,0.16879169662310908,0.058181001036798984,True,False,50075.327996730804
ours,100,3,10,0,0.05365728834693957,0.06479648110442306,-0.011139192757483485,-0.07709213747252147,0.18945698250780849,0.07233901181669787,True,False,50075.327996730804
ours,100,3,10,0,0.19271921223952215,0.06479648110442306,0.1279227311350991,0.03883798482715399,0.32621622780727183,0.06938396573195933,True,False,50075.327996730804
