,t,IME,IME_q0,IME_q1,IME_std,IIME,IIME_q0,IIME_q1,IIME_std,DIME,DIME_q0,DIME_q1,DIME_std,sum,mediator,imp_iter
23,23,-0.010033157908862762,-0.019159051956590175,-0.00039812990701947976,0.005205280979536911,-0.001832820816008086,-0.01097606977189091,0.0021870202511734046,0.0031354448070483893,0.006070533449989493,-0.00830973173066473,0.023377381602225678,0.008346454522807727,0.004237712633981407,SLEEP_COUNT,4
24,24,-0.00969122902661068,-0.01861118405764164,-0.00016663153253002765,0.005056544119147379,-0.0034045414409045135,-0.013792786240398881,0.004618335902706783,0.0053074581114136155,0.0019196055883438006,-0.007423632426362811,0.012514770612617236,0.005602815381024599,-0.001484935852560713,SLEEP_COUNT,4
25,25,-0.00934618208332154,-0.01821720389618672,-0.00013985977492176257,0.004905517241329272,-0.000722539134261822,-0.015543046240665595,0.015094603461135276,0.008194457421942322,2.530633168765185e-06,-0.015909199065364307,0.016239008506060987,0.008035535201152876,-0.0007200085010930569,SLEEP_COUNT,4
0,0,-0.001511664267120255,-0.00856296473921565,0.0041176805026155614,0.0033141989325500055,-0.001511664267120255,-0.00856296473921565,0.0041176805026155614,0.0033141989325500055,0.0,0.0,0.0,0.0,-0.001511664267120255,resting_hr,4
1,1,-0.0007907203397116563,-0.008621171514331878,0.007769472338278057,0.0037505735094683634,-0.0003421793416878434,-0.010830437514320737,0.009921743158562098,0.005462768641876842,0.0002724029293847857,-0.007050833447242414,0.008217137715725976,0.0032963258819277133,-6.977641230305771e-05,resting_hr,4
2,2,-0.0007712393029983776,-0.010935150561814728,0.009990525505963941,0.004719183057932414,0.0020848037984441447,-0.006530168778927121,0.01672881480931324,0.0059586150355670844,-0.002817081028015965,-0.01931435198346702,0.008970497185535503,0.007266565923460889,-0.0007322772295718202,resting_hr,4
3,3,-0.00023122047840336252,-0.009844747828784813,0.009928417526439042,0.0049189193175710345,0.0017000817966400213,-0.008346230940640874,0.016291165562062157,0.006358620974363058,-0.00031124580125833847,-0.012654077235646821,0.010662730957704251,0.006202643207182767,0.0013888359953816828,resting_hr,4
4,4,-0.014786049268839554,-0.03186670173955194,-0.0020046889430863734,0.0075044248975234575,-0.07458215819405827,-0.15433807694954085,-0.014139278254020227,0.03603718955546323,0.0015767937634739437,-0.008728956293150993,0.011943863989683497,0.005515072991919674,-0.07300536443058432,resting_hr,4
5,5,-0.02013358571744037,-0.044086236851039476,-0.0019142821557516657,0.011090645855064162,0.011400558233705796,-0.009282664353177804,0.029492078010473842,0.009948121762832236,-0.058271826194150236,-0.1233121528434951,-0.010747393752996078,0.03086105115555823,-0.04687126796044444,resting_hr,4
6,6,-0.02220191703682132,-0.04952505226065863,-0.000336652476113619,0.013096716181780071,0.0018949669184208258,-0.008491477485790211,0.01861830184733928,0.006735999868422923,-0.03650687187152783,-0.08204949385539016,0.0058001948203638375,0.025027999610022562,-0.03461190495310701,resting_hr,4
